username,video_id,video_url,is_photo,like_count,comment_count,share_count,save_count,description,scraped_at,manual_label,label_timestamp
drkevinmak,7621870587429915922,https://www.tiktok.com/@drkevinmak/video/7621870587429915922,False,1643,46,146,408,"Paha & betis pegel terus jangan cuma dibilang capek 😅 Bisa jadi tubuh lagi kekurangan magnesium—mineral penting buat otot biar gak kaku, gak gampang spasme, dan lebih relax Apalagi kalau sering olahraga, hiking, atau duduk lama → kebutuhan magnesium makin tinggi Kalau diabaikan, ujungnya bisa sampai butuh fisioterapi Mulai perhatiin dari sekarang sebelum makin parah 👇 Udah pernah ngerasain pegel kayak gini? #magnesium #ototpegel #pegalkaki #kesehatanotot #fisioterapi",2026-09-05T20:00:35.093120,not_health,2026-09-07T12:17:27.342224
ikhsanqthii,7627459902327262485,https://www.tiktok.com/@ikhsanqthii/video/7627459902327262485,False,55400,295,1719,2208,"Kalau kalian sering ngantuk habis makan itu bisa aja disebabin karena hipoglikemia reaktif, intinya penurunan gula darah tiba-tiba, ini terjadi akibat respon insulin buat nurunin gula darah secepat mungkin. Nah, kalo sering terjadi kayak gini coba cek gula ya terutama HbA1c! Karena bisa aja udah masuk ke tanda2 pre-diabet…",2026-09-06T18:02:09.557511,health,2026-09-07T12:17:28.851508
ikhsanqthii,7652949141139524885,https://www.tiktok.com/@ikhsanqthii/video/7652949141139524885,False,9671,90,133,143,Jangan lupaa ikutannn 🤣🤣🤣,2026-09-06T16:58:49.579931,not_health,2026-09-07T12:17:32.980552
drrichardlee,7671208856650894600,https://www.tiktok.com/@drrichardlee/video/7671208856650894600,False,7474,238,134,358,"doktif di tegur hakim, pesan terakhir menohok. Post by admin",2026-09-06T11:32:42.664447,not_health,2026-09-07T12:17:37.307930
dr.ziee,7648264637317795080,https://www.tiktok.com/@dr.ziee/video/7648264637317795080,False,3641,24,69,269,"Selain ganggu orang orang, ternyata bau mulut itu salah satu tanda kalo mulut kamu bermasalah. That’s why jaga kesehatan mulut daily tuh penting banget, salah satunya gusi tapi banyak orang Indonesia yang nggak aware. #baumulut #gumvestment #pepsodentgumexpert @tanyapepsodent",2026-09-05T15:26:25.775378,health,2026-09-07T12:17:56.844602
gelarsramdhani,7661443433193573650,https://www.tiktok.com/@gelarsramdhani/video/7661443433193573650,False,59,8,0,2,Membalas @caaaaaaaaaaaaaaaaa209 Gigi berlubang apakah harus dicabut?,2026-09-06T13:14:32.232101,health,2026-09-07T12:21:45.410360
roozzaak,7671218519186459924,https://www.tiktok.com/@roozzaak/video/7671218519186459924,False,0,97,0,0,Membalas @ecerahya27 #fyp #fypシ #DokterGemoy #edukasi #edukasikesehatan,2026-09-05T21:13:58.762647,health,2026-09-07T12:21:57.938017
drkevinmak,7604822591093837064,https://www.tiktok.com/@drkevinmak/video/7604822591093837064,False,2901,71,542,600,Replying to @Kikoo 🧊 kalau kamu udah rutin minum magnesium glycinate? Coba spill pengalaman kamu dibawah! Inget ya jangan salah pilih magnesium! #magnesium #magnesiumglycinate #vitalife #edukasi #susahtidur,2026-09-06T10:40:01.463173,health,2026-09-07T12:22:17.810652
tirtacipeng,7617353063149440276,https://www.tiktok.com/@tirtacipeng/video/7617353063149440276,False,424100,2194,44000,30000,Habis makan trus rebahan bisa jadi gemuk?,2026-09-07T01:36:48.954147,health,2026-09-07T12:22:21.396562
aymanalts,7621766350595296530,https://www.tiktok.com/@aymanalts/video/7621766350595296530,False,6887,172,432,109,,2026-09-05T13:11:57.126420,not_health,2026-09-07T12:22:41.463441
itsdoktermuda,7649767560648461588,https://www.tiktok.com/@itsdoktermuda/video/7649767560648461588,False,7932,93,1299,895,Semangaat yaa orangtua2 anak pejuang diabetes tipe 1💪🏻 vid faauifa_ & zahrenaa,2026-09-06T20:28:38.256329,health,2026-09-07T12:22:59.915590
aymanalts,7666717386950675730,https://www.tiktok.com/@aymanalts/video/7666717386950675730,False,10.3K,231,419,329,Tips milih sunscreen #skincare #tipsandtricks,2026-09-03T11:12:46.461056,health,2026-09-07T12:23:04.502512
roozzaak,7619176500042009877,https://www.tiktok.com/@roozzaak/video/7619176500042009877,False,403,19,137,65,Membalas @Nurjana #fyp #fypシ #DokterGemoy #cessa #transpulminbaby,2026-09-06T00:06:55.768769,health,2026-09-07T12:23:13.594189
bidancynthia,7622273338928270613,https://www.tiktok.com/@bidancynthia/video/7622273338928270613,False,205,32,22,17,Ada yang minum pas Lebaran kemarin bumil? #sirup #ibuhamil,2026-09-07T11:29:28.752027,health,2026-09-07T12:23:30.115084
bidancynthia,7657836724436864277,https://www.tiktok.com/@bidancynthia/video/7657836724436864277,False,1915,28,86,228,Perkembangannya udah bisa apa aja bun?,2026-09-07T04:20:26.633684,not_health,2026-09-07T12:23:34.984912
tirtacipeng,7675924973638143252,https://www.tiktok.com/@tirtacipeng/video/7675924973638143252,False,1144,65,37,25,Kegiatan bapak2 absurd nan gabut sebelum ke toko.,2026-09-07T00:01:26.473200,not_health,2026-09-07T12:23:41.373226
dokter_ika,7668118055746014472,https://www.tiktok.com/@dokter_ika/video/7668118055746014472,False,749,60,5,50,Replying to @mbak choy Perbedaan utama terletak pada cara dan waktu pelepasan sel kulit tersebut.Manusia melepaskan sel kulit mati secara konstan dan tidak terlihat (DESKUANASI) sedangkan ular melepaskan seluruh lapisan luar kulitnya sekaligus dalam satu periode waktu tertentu (ECDYSIS)#belajarbersamadrika #Edukasidrika #Eksfoliasilembut #peeling,2026-09-03T19:27:27.303122,health,2026-09-07T12:23:51.155515
tirtacipeng,7595197312930958610,https://www.tiktok.com/@tirtacipeng/video/7595197312930958610,False,3587,82,84,64,Kegiatan sore2 manusia ber-privilege 🫶🫶🫶 • • • • Nb: konten ini cuma guyonan belaka,2026-09-07T02:06:24.869733,not_health,2026-09-07T12:23:55.214679
ikhsanqthii,7657793069416287508,https://www.tiktok.com/@ikhsanqthii/video/7657793069416287508,False,99100,1288,4736,6112,Buat temen2 perempuan diluar sana selalu aware ya dengan pola/siklus mens kalian. Ini udah dijelasin sama dr @Doa ibu persada 👍👍,2026-09-06T16:44:47.494297,health,2026-09-07T12:24:03.359785
dokteramiraobgyn,7607071577439489300,https://www.tiktok.com/@dokteramiraobgyn/video/7607071577439489300,False,175,9,10,19,kalau kalian mau tau simak #dokterobgynpedalaman#papua#fyp,2026-09-04T00:06:18.884538,health,2026-09-07T12:24:08.057515
roozzaak,7608863221616856341,https://www.tiktok.com/@roozzaak/video/7608863221616856341,False,544,19,109,213,Membalas @Kapuchiri96 #fyp #fypシ #DokterGemoy #vitaminD #vitaminD3,2026-09-06T22:45:25.839873,health,2026-09-07T12:24:13.988670
